model,protocol,split,train_batches,validation_batches,validation_batch,n_train,n_validation,macro_f1,accuracy,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
logreg_C0.01,random_stratified,random_fold_1,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9690464641606571,0.9728419010669254,0.9729032258064516,0.9924650161463939,0.9779951100244498,0.9305816135084428,0.9834710743801653,0.9568627450980393
logreg_C0.01,random_stratified,random_fold_2,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9781415925724612,0.9806013579049466,0.9769230769230769,0.9967776584317938,0.9854368932038835,0.9511278195488722,0.9865841073271414,0.972
logreg_C0.01,random_stratified,random_fold_3,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9744934419169872,0.9772065955383124,0.9755469755469756,0.9903329752953813,0.9705882352941176,0.955719557195572,0.9843587069864442,0.9704142011834319
logreg_C0.01,random_stratified,random_fold_4,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9675277925958007,0.9718719689621726,0.969309462915601,0.9892703862660944,0.9625935162094763,0.9509433962264151,0.9854771784232366,0.9475728155339805
logreg_C0.01,random_stratified,random_fold_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9701924440147395,0.9733268671193016,0.974025974025974,0.9882604055496265,0.9655172413793104,0.9473684210526315,0.979381443298969,0.9666011787819253
logreg_C0.01,expanding_window,temporal_batch_2,"(np.int64(1),)","(np.int64(2),)",2.0,445,1244,0.6328950881594627,0.8255627009646302,0.590818363273453,0.9773755656108597,0.9900990099009901,0.0,0.9164969450101833,0.3225806451612903
logreg_C0.01,expanding_window,temporal_batch_3,"(np.int64(1), np.int64(2))","(np.int64(3),)",3.0,1689,1586,0.783147524440673,0.800126103404792,0.38811881188118813,0.9989806320081549,0.9815668202764977,0.5802816901408451,0.966789667896679,
logreg_C0.01,expanding_window,temporal_batch_4,"(np.int64(1), np.int64(2), np.int64(3))","(np.int64(4),)",4.0,3275,161,0.7913392217291692,0.7950310559006211,0.8166666666666667,0.926829268292683,1.0,0.723404255319149,0.4897959183673469,
logreg_C0.01,expanding_window,temporal_batch_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))","(np.int64(5),)",5.0,3436,197,0.9801114100387445,0.9796954314720813,0.9824561403508771,1.0,0.9743589743589743,0.967741935483871,0.976,
logreg_C0.01,expanding_window,temporal_batch_6,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5))","(np.int64(6),)",6.0,3633,2300,0.6672913378536376,0.7730434782608696,0.9741035856573705,0.999129677980853,0.957345971563981,0.10301953818827708,0.9701492537313433,0.0
logreg_C0.01,expanding_window,temporal_batch_7,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6))","(np.int64(7),)",7.0,5933,3613,0.8182542235600808,0.8214779961251037,0.9870722433460076,0.788782816229117,0.9442815249266863,0.42992623814541625,0.8209150326797385,0.9385474860335196
logreg_C0.01,expanding_window,temporal_batch_8,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7))","(np.int64(8),)",8.0,9546,294,0.7605933036643765,0.6904761904761905,0.9523809523809523,0.9473684210526315,0.8059701492537313,0.9117647058823529,0.6283185840707964,0.3177570093457944
logreg_C0.01,expanding_window,temporal_batch_9,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8))","(np.int64(9),)",9.0,9840,470,0.7539965908186231,0.7702127659574468,0.9682539682539683,1.0,1.0,0.5896414342629482,0.9466666666666667,0.019417475728155338
