model,protocol,split,train_batches,validation_batches,validation_batch,n_train,n_validation,macro_f1,accuracy,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
xgboost_depth2,random_stratified,random_fold_1,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.987190463515026,0.988360814742968,0.9936467598475223,0.9956989247311828,0.9829683698296837,0.9773584905660377,0.9855670103092784,0.9879032258064516
xgboost_depth2,random_stratified,random_fold_2,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9914012198649603,0.9922405431619786,0.9885057471264368,0.9989235737351991,0.9879518072289156,0.9833024118738405,0.9937888198757764,0.9959349593495935
xgboost_depth2,random_stratified,random_fold_3,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9900587138129383,0.991270611057226,0.9949109414758269,0.9924487594390508,0.973621103117506,0.9906890130353817,0.9927310488058152,0.9959514170040485
xgboost_depth2,random_stratified,random_fold_4,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9903880820181897,0.991270611057226,0.9924050632911392,0.9946524064171123,0.9878345498783455,0.9868173258003766,0.9927159209157128,0.9879032258064516
xgboost_depth2,random_stratified,random_fold_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9873695452644514,0.988360814742968,0.9910828025477707,0.9957173447537473,0.9830508474576272,0.9828571428571429,0.9855371900826446,0.9859719438877755
xgboost_depth2,expanding_window,temporal_batch_2,"(np.int64(1),)","(np.int64(2),)",2.0,445,1244,0.6256985164638279,0.8054662379421221,0.5504587155963303,0.9269662921348315,0.5306122448979592,0.0,0.9769230769230769,0.7692307692307693
xgboost_depth2,expanding_window,temporal_batch_3,"(np.int64(1), np.int64(2))","(np.int64(3),)",3.0,1689,1586,0.8999051038059063,0.9079445145018915,0.8401585204755614,0.9829488465396189,0.9032258064516129,0.8370221327967807,0.9361702127659575,
xgboost_depth2,expanding_window,temporal_batch_4,"(np.int64(1), np.int64(2), np.int64(3))","(np.int64(4),)",4.0,3275,161,0.7160093966738758,0.7080745341614907,0.6415094339622641,0.9772727272727273,0.9090909090909091,0.6521739130434783,0.4,
xgboost_depth2,expanding_window,temporal_batch_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))","(np.int64(5),)",5.0,3436,197,0.9420307810299182,0.9441624365482234,0.8888888888888888,1.0,0.9473684210526315,0.9230769230769231,0.9508196721311475,
xgboost_depth2,expanding_window,temporal_batch_6,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5))","(np.int64(6),)",6.0,3633,2300,0.6054938055036797,0.6708695652173913,0.796137339055794,0.8982725527831094,0.905829596412556,0.07923497267759563,0.9534883720930233,0.0
xgboost_depth2,expanding_window,temporal_batch_7,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6))","(np.int64(7),)",7.0,5933,3613,0.6640033057661339,0.7085524494879601,0.8607427055702918,0.8591916558018253,0.5298759864712514,0.3075221238938053,0.7822164948453608,0.6444708680142688
xgboost_depth2,expanding_window,temporal_batch_8,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7))","(np.int64(8),)",8.0,9546,294,0.744538069311209,0.8333333333333334,0.9655172413793104,0.22857142857142856,0.6666666666666666,0.8421052631578947,0.9310344827586207,0.8333333333333334
xgboost_depth2,expanding_window,temporal_batch_9,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8))","(np.int64(9),)",9.0,9840,470,0.6921238158184622,0.7,0.6292134831460674,1.0,1.0,0.5568627450980392,0.9358974358974359,0.03076923076923077
xgboost_depth4,random_stratified,random_fold_1,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9914188607210163,0.9922405431619786,0.9924050632911392,0.9956989247311828,0.9878345498783455,0.9869158878504672,0.9937888198757764,0.991869918699187
